title,artist,last,peak,week
Nothing Was The Same,Drake,157,1,365
AM,Arctic Monkeys,139,6,138
Strait Out Of The Box,George Strait,-,43,44
T R A P S O U L,Bryson Tiller,141,8,239
17,XXXTENTACION,160,2,183
Greatest Hits: The Ultimate Collection,Bon Jovi,161,5,198
AI YoungBoy 2,YoungBoy Never Broke Again,150,1,72
The Essential Billy Joel,Billy Joel,156,15,227
Gold: Greatest Hits,ABBA,187,25,160
A N N I V E R S A R Y,Bryson Tiller,36,5,8
So Much Fun,Young Thug,158,1,80
"Mixtape, Vol. 1 (EP)",Kane Brown,168,15,29
Code Red,Moneybagg Yo & Blac Youngsta,159,6,25
Hozier,Hozier,144,2,201
Greatest Hits,Pitbull,171,159,6
Dreamville & J. Cole: Revenge Of The Dreamers III,Various Artists,162,1,84
JACKBOYS,JACKBOYS,174,1,62
Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys,170,16,243
Slime & B,Chris Brown & Young Thug,134,24,38
Hot Rocks 1964-1971,The Rolling Stones,177,4,349
Kash Only,BRS Kash,155,98,7
H.E.R.,H.E.R.,166,23,166
KIDS SEE GHOSTS,KIDS SEE GHOSTS,-,2,16
Born To Die,Lana Del Rey,164,2,384
In The Lonely Hour,Sam Smith,165,2,323
Poster Girl,Zara Larsson,-,170,1
The Very Best Of Daryl Hall  John Oates,Daryl Hall John Oates,176,34,119
Hoodie SZN,A Boogie Wit da Hoodie,172,1,109
Mis Manos,Camilo,-,173,1
Mud To Gold,Upchurch,-,174,1
Nectar,Joji,-,3,21
21,Adele,178,1,505
Red,Taylor Swift,175,1,165
Number One Hits,Tim McGraw,190,27,170
My Beautiful Dark Twisted Fantasy,Kanye West,169,1,124
reputation,Taylor Swift,149,1,135
Harder Than Ever,Lil Baby,180,3,120
The Album,BLACKPINK,199,2,23
Perception,NF,179,1,172
Unorthodox Jukebox,Bruno Mars,-,1,204
[Hybrid Theory],Linkin Park,183,2,248
Greatest Hits,Blink-182,182,6,55
I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,188,14,47
Circles,Mac Miller,184,3,58
All-Time Greatest Hits,Neil Diamond,-,15,50
Teenage Dream,Katy Perry,200,1,240
Drip Harder,Lil Baby & Gunna,167,4,120
T-Pain Presents Happy Hour: The Greatest Hits,T-Pain,185,185,2
Currents,Tame Impala,-,4,39
A Decade Of Destruction,Five Finger Death Punch,-,29,138
A Love Letter To You 4,Trippie Redd,193,1,65
Good Time (EP),Niko Moon,191,191,2
Victory Lap,Nipsey Hussle,197,2,94
Judas And The Black Messiah: The Inspired Album,Soundtrack,128,12,4
The Definitive Collection,Stevie Wonder,-,35,102
Wonder,Shawn Mendes,173,1,14
